"Are you sure you want to do this?","Are you sure you want to do this?"
"Delete File","Delete File"
"Delete Icon","Delete Icon"
ID,ID
"File Name","File Name"
"File Label","File Label"
"We can't change item right now. Please review the log and try again.","We can't change item right now. Please review the log and try again."
"A total of %1 record(s) have been changed.","A total of %1 record(s) have been changed."
"No records have been changed.","No records have been changed."
Success,Success
"Empty Url","Empty Url"
"You deleted the file.","You deleted the file."
"We can't delete item right now. Please review the log and try again.","We can't delete item right now. Please review the log and try again."
"Edit Attachment","Edit Attachment"
"This attachment no longer exists.","This attachment no longer exists."
"New Attachment","New Attachment"
File,File
"Attachments Management","Attachments Management"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"No records have been deleted.","No records have been deleted."
"The wrong item is specified.","The wrong item is specified."
"You saved the item.","You saved the item."
"You deleted the icon.","You deleted the icon."
"Edit Icon","Edit Icon"
"This icon no longer exists.","This icon no longer exists."
"New Icon","New Icon"
Icon,Icon
"Icon Management","Icon Management"
"Upload Your Files","Upload Your Files"
"Import Attachments","Import Attachments"
"Product Attachments","Product Attachments"
"Mass File Import","Mass File Import"
"Select Stores For Configuration","Select Stores For Configuration"
"Downloads report has been cleared.","Downloads report has been cleared."
"Product Attachment Report","Product Attachment Report"
Downloads,Downloads
"Product Attachment Report Downloads","Product Attachment Report Downloads"
"No such data provider","No such data provider"
"No such save processor","No such save processor"
"[STORE VIEW]","[STORE VIEW]"
"Couldn't save file","Couldn't save file"
"Disallowed Extension","Disallowed Extension"
"Unable to save new file. Error: %1","Unable to save new file. Error: %1"
"Unable to save file with ID %1. Error: %2","Unable to save file with ID %1. Error: %2"
"File with specified ID ""%1"" not found.","File with specified ID ""%1"" not found."
"File with specified Hash ""%1"" not found.","File with specified Hash ""%1"" not found."
"Unable to remove file with ID %1. Error: %2","Unable to remove file with ID %1. Error: %2"
"Unable to remove icon. Error: %1","Unable to remove icon. Error: %1"
"Directory Code doesn't exist.","Directory Code doesn't exist."
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
Disabled,Disabled
Enabled,Enabled
"Unable to save icon with ID %1. Error: %2","Unable to save icon with ID %1. Error: %2"
"Unable to save new icon. Error: %1","Unable to save new icon. Error: %1"
"Icon with specified ID ""%1"" not found.","Icon with specified ID ""%1"" not found."
"Unable to remove icon with ID %1. Error: %2","Unable to remove icon with ID %1. Error: %2"
"Import with specified ID ""%1"" not found.","Import with specified ID ""%1"" not found."
"Unable to save import with ID %1. Error: %2","Unable to save import with ID %1. Error: %2"
"Unable to save new import. Error: %1","Unable to save new import. Error: %1"
Add,Add
"NOT LOGGED IN","NOT LOGGED IN"
Product,Product
Category,Category
Order,Order
Other,Other
"`Include In Order` Only","`Include In Order` Only"
"All Product Attachments","All Product Attachments"
Id,Id
Hash,Hash
"Current Category","Current Category"
"Specific Category","Specific Category"
"Current Product","Current Product"
"Specific Product","Specific Product"
"Custom Files","Custom Files"
Cancel,Cancel
Back,Back
Next,Next
Remove,Remove
"Sort Option","Sort Option"
Delete,Delete
"It seems that some of your Linked Product Attachments which are associated with the website %website have become unavailable","It seems that some of your Linked Product Attachments which are associated with the website %website have become unavailable"
"Generate Import File","Generate Import File"
Finish,Finish
General,General
"Enable Module","Enable Module"
"Add Category Files to Products","Add Category Files to Products"
"Display `Include In Order` Files on Product Pages and Widgets","Display `Include In Order` Files on Product Pages and Widgets"
"Url Creation Type","Url Creation Type"
"ID type URL: http://domain.zone/amfile/download/file/22. Hash type URL: http://domain.zone/amfile/download/file/8a9e07bad0166438b0b64a91b235ca4e","ID type URL: http://domain.zone/amfile/download/file/22. Hash type URL: http://domain.zone/amfile/download/file/8a9e07bad0166438b0b64a91b235ca4e"
"Links Accessibility Check","Links Accessibility Check"
"Check Linked Product Attachments Accessibility","Check Linked Product Attachments Accessibility"
"Send Email Notifications To","Send Email Notifications To"
"Specify emails to which a notification will be sent if the links are inactive.","Specify emails to which a notification will be sent if the links are inactive."
"Product Tab","Product Tab"
"Show `Product Attachments` Tab","Show `Product Attachments` Tab"
"Tab Title","Tab Title"
"Choose Customer Groups to show the Tab","Choose Customer Groups to show the Tab"
"Show File Icon","Show File Icon"
"Show File Size","Show File Size"
"Tab Position","Tab Position"
"Sort order should be greater than 0","Sort order should be greater than 0"
"Order View Page","Order View Page"
"Show Attachments","Show Attachments"
"Title for Attachments Block","Title for Attachments Block"
"Type of Attachments to Display","Type of Attachments to Display"
"Order Status","Order Status"
